City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Puerto Escondido,MX,15.85,-97.0667,79.63,69,0,3.44,clear sky
79,Kahului,US,20.8947,-156.47,82.42,65,0,18.41,clear sky
80,Maltahohe,NA,-24.8333,16.9833,64.44,23,2,9.13,clear sky
81,Iquitos,PE,-3.7481,-73.2472,77.04,83,20,0.0,few clouds
82,Jamestown,US,42.097,-79.2353,32.02,51,0,11.5,clear sky
83,Hasaki,JP,35.7333,140.8333,48.6,76,100,20.11,light rain
84,Saint-Joseph,RE,-21.3667,55.6167,71.98,81,13,7.87,few clouds
85,Barrow,US,71.2906,-156.7887,21.22,86,100,27.63,mist
86,Bilma,NE,18.6853,12.9164,72.14,20,0,8.37,clear sky
87,Waw,SS,7.7029,27.9953,76.96,37,93,4.14,overcast clouds
88,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,31,8.59,scattered clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,70.56,89,56,1.99,broken clouds
90,Pevek,RU,69.7008,170.3133,0.52,73,100,9.51,overcast clouds
91,Ilulissat,GL,69.2167,-51.1,37.42,60,100,12.66,overcast clouds
92,Mercedes,AR,-34.6515,-59.4307,74.79,63,0,9.98,clear sky
93,Aldan,RU,58.6031,125.3894,2.16,91,100,19.8,light snow
94,Kieta,PG,-6.2167,155.6333,82.99,75,94,3.94,light rain
95,Foam Lake,CA,51.65,-103.5343,17.62,88,98,18.39,light snow
96,Sarkand,KZ,45.41,79.9186,15.91,88,100,2.62,overcast clouds
97,Carnarvon,AU,-24.8667,113.6333,75.0,63,5,13.58,clear sky
98,Hobyo,SO,5.3505,48.5268,79.57,68,93,17.92,overcast clouds
99,Busselton,AU,-33.65,115.3333,68.07,57,100,7.81,overcast clouds
100,Hithadhoo,MV,-0.6,73.0833,81.45,76,100,9.28,overcast clouds
101,Shar,KZ,49.5886,81.0453,3.9,96,100,3.47,light snow
102,Sokolo,ML,14.7328,-6.1219,83.86,40,100,5.64,overcast clouds
103,Coolum Beach,AU,-26.5333,153.1,81.34,72,11,11.25,few clouds
104,Salina Cruz,MX,16.1667,-95.2,80.19,54,3,22.44,clear sky
105,Impfondo,CG,1.6381,18.0667,70.95,96,96,4.16,overcast clouds
106,Nemuro,JP,43.3236,145.575,28.89,46,34,18.95,scattered clouds
107,Isangel,VU,-19.55,169.2667,89.71,70,98,9.22,overcast clouds
108,Qaqortoq,GL,60.7167,-46.0333,21.56,65,100,7.78,overcast clouds
109,Geraldton,AU,-28.7667,114.6,75.61,50,0,11.5,clear sky
110,Mutoko,ZW,-17.397,32.2268,65.43,70,7,2.42,clear sky
111,Kibala,TD,9.1104,18.3463,74.03,24,6,4.76,clear sky
112,Narsaq,GL,60.9167,-46.05,17.82,62,100,7.94,overcast clouds
113,Kununurra,AU,-15.7667,128.7333,91.38,55,53,3.44,broken clouds
114,Kaseda,JP,31.4167,130.3167,55.31,84,100,13.02,overcast clouds
115,Valleyview,CA,55.0667,-117.2859,19.44,42,100,13.8,overcast clouds
116,Palana,RU,59.1167,159.9667,11.86,92,100,9.24,light snow
117,Naze,JP,28.3667,129.4833,67.12,88,97,14.07,overcast clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,20,16.11,few clouds
119,Kiama,AU,-34.6833,150.8667,89.46,60,5,11.18,clear sky
120,Corn Island,NI,12.1694,-83.0418,81.46,72,5,14.97,clear sky
121,Kodiak,US,57.79,-152.4072,38.71,87,75,8.05,broken clouds
122,Vao,NC,-22.6667,167.4833,77.41,88,96,20.15,overcast clouds
123,Mattru,SL,7.6244,-11.8332,73.87,95,99,1.59,overcast clouds
124,Gusev,RU,54.5922,22.1997,28.87,91,100,9.95,overcast clouds
125,East London,ZA,-33.0153,27.9116,68.11,93,100,15.7,moderate rain
126,Longyearbyen,SJ,78.2186,15.6401,30.04,100,100,11.5,light snow
127,Torbay,CA,47.6666,-52.7314,36.57,85,75,29.93,broken clouds
128,Vigeland,NO,58.0844,7.305,32.95,73,35,10.6,scattered clouds
129,Rawson,AR,-43.3002,-65.1023,66.29,43,27,19.19,scattered clouds
130,Grenville,GD,12.1167,-61.6167,75.25,79,41,5.06,light rain
131,Abha,SA,18.2164,42.5053,49.82,76,0,0.0,clear sky
132,Hobart,AU,-42.8794,147.3294,54.27,91,75,18.41,broken clouds
133,Vostok,RU,46.4856,135.8833,0.19,81,97,8.3,overcast clouds
134,Jiexiu,CN,37.0244,111.9125,34.68,23,4,4.14,clear sky
135,Upernavik,GL,72.7868,-56.1549,24.91,69,100,9.17,overcast clouds
136,Saint George,US,37.1041,-113.5841,56.95,53,0,4.0,clear sky
137,Ibra,OM,22.6906,58.5334,62.74,67,0,1.95,clear sky
138,Sao Filipe,CV,14.8961,-24.4956,71.65,65,94,3.94,overcast clouds
139,Ribeira Grande,PT,38.5167,-28.7,60.78,73,34,14.0,scattered clouds
140,Atascadero,US,35.4894,-120.6707,55.35,87,15,3.06,few clouds
141,Zhigansk,RU,66.7697,123.3711,-18.8,99,99,0.83,overcast clouds
142,Abonnema,NG,4.7084,6.7931,77.29,89,2,4.14,clear sky
143,Berezovyy,RU,51.6667,135.7,-0.45,60,61,9.73,broken clouds
144,Hameenlinna,FI,60.996,24.4643,11.86,99,85,1.43,overcast clouds
145,Leshukonskoye,RU,64.8989,45.7622,4.28,92,63,6.4,broken clouds
146,Saint Anthony,US,45.0205,-93.218,32.54,59,0,11.5,clear sky
147,Chiredzi,ZW,-21.05,31.6667,73.17,71,2,4.7,clear sky
